"condition","condItemOrder","pa","na","lifeHappy","lifeSat","nowHappy","nowUnhappy","nowGood","nowBad","gender","age"
"positive","SatHappy",3.33333333333333,1.33333333333333,5,6,5,1,6,2,1,21
"positive","HappySat",2,3,6,4,3,4,3,4,1,19
"positive","HappySat",4,1.66666666666667,6,6,5,3,5,3,1,21
"positive","HappySat",4,1.66666666666667,6,9,5,2,5,1,1,18
"positive","HappySat",5,1,6,9,7,1,7,1,1,19
"negative","SatHappy",2,3.33333333333333,4,7,3,4,3,4,1,18
"positive","SatHappy",4,1.33333333333333,6,7,5,2,6,2,1,18
"positive","HappySat",4.66666666666667,1,6,9,7,1,6,1,2,18
"positive","HappySat",4,1,7,10,6,2,6,2,1,19
"negative","SatHappy",3,1,5,6,6,3,4,2,1,18
"negative","SatHappy",2.33333333333333,1.66666666666667,6,7,4,4,3,5,1,18
"negative","SatHappy",3,1.33333333333333,6,8,5,2,5,2,1,18
"positive","SatHappy",2,1.33333333333333,6,8,3,3,4,1,2,18
"positive","SatHappy",1.66666666666667,1.66666666666667,3,6,1,5,4,4,1,18
"negative","SatHappy",1.66666666666667,2,5,7,2,3,2,3,1,22
"negative","SatHappy",2.66666666666667,1,5,8,4,3,5,3,1,18
"negative","SatHappy",4.33333333333333,3.33333333333333,4,3,7,3,7,3,2,20
"positive","HappySat",5,1,6,7,6,1,6,2,1,18
"positive","SatHappy",2.33333333333333,1.66666666666667,6,7,5,4,4,3,1,19
"negative","SatHappy",1.33333333333333,3.33333333333333,6,8,3,5,3,5,1,19
"positive","SatHappy",4,2,3,2,5,4,4,4,1,19
"negative","SatHappy",4,1.33333333333333,6,8,6,2,6,2,1,20
"positive","SatHappy",4.33333333333333,2,6,7,6,3,5,1,1,18
"negative","HappySat",2,3,3,4,2,5,4,5,1,18
"negative","HappySat",2.66666666666667,1,5,7,5,3,6,2,2,19
"positive","SatHappy",2,3,5,6,4,4,4,4,1,18
"negative","HappySat",4,1,6,8,5,4,5,3,1,20
"positive","SatHappy",4,1,6,9,6,1,6,2,1,18
"positive","HappySat",4,1,6,8,5,1,6,1,1,18
"negative","SatHappy",3,1,5,7,5,2,5,2,1,20
"positive","HappySat",5,1,5,7,6,2,7,1,1,20
"negative","HappySat",2.66666666666667,2.66666666666667,5,6,4,3,4,4,1,19
"positive","HappySat",3,1.66666666666667,6,8,5,5,5,4,1,18
"negative","HappySat",4,1.33333333333333,6,9,5,1,6,1,1,19
"negative","HappySat",1,1.66666666666667,5,6,3,5,3,5,2,19
"positive","SatHappy",4,1.66666666666667,5,7,6,6,6,5,1,18
"positive","HappySat",2,1.33333333333333,3,3,3,4,3,4,1,19
"positive","HappySat",3.66666666666667,1.33333333333333,6,9,5,2,5,2,1,18
"positive","HappySat",3,1.33333333333333,5,8,5,2,5,1,1,18
"negative","HappySat",3,1.33333333333333,5,6,4,4,5,2,1,19
"negative","HappySat",3.66666666666667,2,6,8,6,2,6,2,1,19
"negative","HappySat",4.33333333333333,1.33333333333333,7,9,7,1,7,1,1,18
"positive","HappySat",3.33333333333333,2.33333333333333,6,6,5,3,5,5,1,18
"negative","HappySat",4,1.33333333333333,6,8,7,2,6,2,1,19
"positive","SatHappy",2.66666666666667,1,6,8,5,1,4,2,2,20
"negative","HappySat",2,2,5,7,5,3,5,3,1,20
"positive","SatHappy",3.66666666666667,1,7,8,6,2,6,2,1,18
"positive","SatHappy",2.66666666666667,1,5,7,4,2,4,2,1,19
"negative","HappySat",3.33333333333333,1.66666666666667,6,7,4,4,4,5,2,19
"negative","SatHappy",1.66666666666667,2.33333333333333,5,7,5,3,5,3,1,21
"negative","SatHappy",3,1.66666666666667,6,8,5,2,4,2,1,20
"negative","HappySat",4,1.33333333333333,5,8,6,1,7,1,1,19
"negative","SatHappy",2.66666666666667,2.66666666666667,5,7,6,2,4,5,1,18
"positive","SatHappy",4,1.33333333333333,6,9,6,2,6,1,1,20
"positive","HappySat",4,1.33333333333333,7,9,6,2,7,1,1,19
"negative","SatHappy",1.33333333333333,4,4,3,2,5,4,3,1,20
"negative","HappySat",3.66666666666667,2,5,6,4,2,5,4,1,20
"negative","SatHappy",2,3,5,6,2,5,2,6,1,18
"positive","SatHappy",3,1.66666666666667,6,3,3,3,2,3,1,18
"positive","HappySat",4.66666666666667,1.33333333333333,6,8,6,2,3,5,1,18
"negative","SatHappy",3.33333333333333,1,6,9,5,1,5,1,1,19
"positive","SatHappy",3,1,6,8,5,3,5,2,1,20
"negative","HappySat",2.33333333333333,1.33333333333333,5,6,4,4,5,3,1,18
"negative","SatHappy",1.66666666666667,2.66666666666667,3,7,1,6,3,3,1,18
"negative","SatHappy",2.66666666666667,2.33333333333333,6,9,4,4,4,4,1,20
"negative","SatHappy",1.33333333333333,3,5,6,5,4,3,4,2,40
"negative","SatHappy",2.33333333333333,1,7,9,5,1,5,1,1,19
"negative","SatHappy",4,1,6,8,6,1,7,1,1,19
"negative","HappySat",2.66666666666667,2,5,6,4,4,4,4,1,19
"positive","HappySat",4,1,6,8,6,1,6,1,1,18
