"swls","traitPA","traitNA","gender","age","condition","condition2","surveyCond","lifeSat2","lifeHappy1","lifeChange","moodPA","moodNA","drmDayWrong","drmPA","drmNA","daySat"
5.4,4.66666666666667,2.66666666666667,1,20,"bad",5,"NoQuestions",8,8,7,4.33333333333333,1.33333333333333,0,4.77777777777778,0.444444444444444,9
5.6,4,3.33333333333333,1,18,"bad",5,"NoQuestions",8,8,7,4,1.33333333333333,0,3.33333333333333,0.5,8
6,5.33333333333333,1.33333333333333,2,18,"bad",5,"Questions",9,9,8,4,1.66666666666667,0,3.11111111111111,1.83333333333333,8
NA,3,3,2,19,"good",6,"Questions",5,5,5,3.33333333333333,2,NA,NA,NA,NA
NA,2.66666666666667,4.16666666666667,1,18,"good",6,"NoQuestions",3,5,1,2,1.66666666666667,0,2.66666666666667,1.5,4
NA,5,2,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,3.66666666666667,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2,4,3.16666666666667,1,19,"good",6,"NoQuestions",8,8,8,3,1.66666666666667,0,3,1.38888888888889,8
3.25,3.66666666666667,3,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.66666666666667,3.83333333333333,1,18,"good",6,"Questions",7,9,6,4,1.33333333333333,0,2.77777777777778,1.33333333333333,7
NA,5.33333333333333,3.5,1,19,"good",6,"Questions",9,9,9,3,2,0,2,3.27777777777778,3
3.6,3.33333333333333,3,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.33333333333333,3,1,19,"good",6,"NoQuestions",6,7,3,2.66666666666667,2.66666666666667,0,2.11111111111111,1.33333333333333,7
NA,3,2.5,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5.33333333333333,3,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.6,4.66666666666667,2,1,18,"good",6,"Questions",9,8,8,4.66666666666667,1.66666666666667,0,3.22222222222222,1.44444444444444,8
NA,4,3.5,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,5,1,19,"good",6,"Questions",6,6,4,3.66666666666667,4,0,3.33333333333333,1.77777777777778,7
3.2,2,3,1,19,"good",6,"NoQuestions",9,7,7,3,2.33333333333333,0,2.33333333333333,0.722222222222222,7
NA,3.66666666666667,2.66666666666667,1,18,"bad",5,"Questions",6,6,3,3.33333333333333,3,0,3.55555555555556,2.61111111111111,7
NA,3.33333333333333,3.66666666666667,1,20,"good",6,"NoQuestions",8,8,8,2.5,3.66666666666667,NA,NA,NA,NA
5.4,4,2.66666666666667,2,21,"bad",5,"Questions",7,7,6,3,1.33333333333333,0,1.66666666666667,1.27777777777778,4
NA,4,3.83333333333333,1,19,"good",6,"Questions",6,6,6,4,2,NA,NA,NA,NA
NA,5.33333333333333,2,1,19,"bad",5,"Questions",5,5,6,3,3,0,0.777777777777778,2.11111111111111,5
5.4,4.33333333333333,1.66666666666667,1,21,"good",6,"Questions",7,8,7,3.66666666666667,2,0,1.88888888888889,0.555555555555556,5
NA,1,4,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.8,5.33333333333333,2.16666666666667,1,18,"bad",5,"Questions",9,9,7,4,1.33333333333333,NA,NA,NA,NA
NA,3.66666666666667,2.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.4,4.33333333333333,1.5,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.2,4.66666666666667,2.33333333333333,1,19,"good",6,"Questions",8,8,7,4,2,0,3,1.5,7
3.2,3,3.5,2,20,NA,NA,NA,NA,NA,NA,NA,NA,0,2.66666666666667,0.222222222222222,4
NA,4.33333333333333,3,1,18,"good",6,"NoQuestions",7,7,4,4,1.33333333333333,NA,NA,NA,NA
3.6,3.66666666666667,2.5,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2,3,4.16666666666667,2,20,"good",6,"Questions",5,7,3,3.33333333333333,2.33333333333333,0,3.33333333333333,0.833333333333333,7
NA,6,3.16666666666667,1,21,"bad",5,"Questions",8,8,2,4,2,NA,NA,NA,NA
NA,4.66666666666667,3.16666666666667,1,19,"good",6,"NoQuestions",10,9,3,5,1.66666666666667,0,3.22222222222222,0.833333333333333,8
NA,3.66666666666667,2.83333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.8,2.66666666666667,3.66666666666667,2,20,"good",6,"Questions",6,4,3,2.33333333333333,4,NA,NA,NA,NA
4.4,4.33333333333333,5,1,18,"good",6,"NoQuestions",9,9,0,4,1.66666666666667,NA,NA,NA,NA
4.8,4,3,1,20,"good",6,"NoQuestions",7,7,6,3.66666666666667,1.66666666666667,0,4.44444444444444,2.16666666666667,7
5.8,4.33333333333333,2.83333333333333,1,24,"good",6,"NoQuestions",7,8,7,3,2,0,3.11111111111111,1.5,6
3.6,4,2.5,1,18,"good",6,"Questions",7,8,4,4.33333333333333,1,0,2.66666666666667,2.55555555555556,8
7,4.33333333333333,2,1,18,"good",6,"NoQuestions",10,9,9,4,1.66666666666667,0,2.33333333333333,1.66666666666667,7
NA,3.33333333333333,2.5,1,22,"bad",5,"Questions",9,7,9,4.33333333333333,1.33333333333333,0,4.33333333333333,1.66666666666667,5
NA,2.66666666666667,2.33333333333333,2,19,"bad",5,"Questions",3,7,0,3.33333333333333,1.66666666666667,0,2.16666666666667,1,7
3.4,2.66666666666667,4.16666666666667,2,18,"bad",5,"Questions",5,6,8,2.33333333333333,2.66666666666667,NA,NA,NA,NA
5.6,4.33333333333333,3.66666666666667,1,18,NA,NA,NA,NA,NA,NA,NA,NA,0,3.66666666666667,1.66666666666667,9
NA,5.33333333333333,4.5,1,21,"bad",5,"NoQuestions",9,8,8,4,1.66666666666667,0,4,0.777777777777778,8
NA,5,2.33333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,3,1,18,"good",6,"NoQuestions",8,8,3,4,1.33333333333333,0,3.11111111111111,1.27777777777778,8
NA,3,3,2,22,"bad",5,"Questions",9,9,8,4,1.33333333333333,0,3.33333333333333,0.666666666666667,9
4,4,2,1,19,"good",6,"Questions",5,6,4,4,1,0,3.11111111111111,0.5,7
5.8,3.66666666666667,3,1,18,"bad",5,"NoQuestions",8,8,7,3.66666666666667,1.66666666666667,0,2.88888888888889,1.94444444444444,6
NA,6,2.5,1,18,"good",6,"Questions",10,10,9,3,1.33333333333333,0,1.55555555555556,1.55555555555556,4
4.2,1.66666666666667,2.83333333333333,1,18,"good",6,"NoQuestions",7,7,7,4,2,0,2.88888888888889,2.66666666666667,4
4,3,2.66666666666667,2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,3,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,2,1,21,"bad",5,"NoQuestions",9,9,8,4,1.33333333333333,0,5.55555555555556,0.388888888888889,9
NA,5.33333333333333,3.66666666666667,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.66666666666667,0.833333333333333,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,2.16666666666667,1,18,"bad",5,"Questions",9,9,7,4,1.66666666666667,0,2.66666666666667,0.555555555555556,7
NA,4.33333333333333,3.66666666666667,1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,2.33333333333333,1.27777777777778,8
NA,4.33333333333333,3.16666666666667,2,20,"bad",5,"Questions",6,8,5,3,2.66666666666667,NA,NA,NA,NA
3.6,3.33333333333333,3.33333333333333,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.66666666666667,3,2,21,"good",6,"Questions",6,9,4,2.66666666666667,2.33333333333333,0,3.77777777777778,1.05555555555556,9
NA,5.66666666666667,2,1,18,"bad",5,"Questions",9,9,8,2.66666666666667,1,0,3.44444444444444,1.16666666666667,3
6.2,5.66666666666667,3.16666666666667,1,18,"bad",5,"Questions",9,9,7,3.33333333333333,1.5,0,3.44444444444444,0.877777777777778,8
4,3,3.16666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4.33333333333333,2.5,1,20,"good",6,"NoQuestions",8,8,7,4,1.33333333333333,0,1.33333333333333,2.16666666666667,6
NA,4,3.66666666666667,2,20,"bad",5,"Questions",7,6,4,2.33333333333333,4,NA,NA,NA,NA
NA,4,3.66666666666667,1,19,NA,NA,NA,NA,NA,NA,NA,NA,0,2.77777777777778,1.83333333333333,9
2,3.66666666666667,3.83333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,2.5,1,18,"good",6,"Questions",9,8,7,3.66666666666667,2.33333333333333,0,2.11111111111111,0.888888888888889,7
6.2,5,2.83333333333333,1,18,"bad",5,"Questions",8,8,5,3,1.66666666666667,0,3.88888888888889,1.5,8
NA,3,2.83333333333333,1,20,"bad",5,"Questions",6,8,6,4,1.33333333333333,0,3.22222222222222,1.5,8
3.2,2.33333333333333,2.33333333333333,1,19,"good",6,"Questions",5,6,4,3.66666666666667,1.33333333333333,NA,NA,NA,NA
NA,3.33333333333333,2.66666666666667,1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,0.666666666666667,0.333333333333333,5
NA,2.33333333333333,3.5,2,20,"good",6,"Questions",0,4,9,1.66666666666667,4,0,1,2.94444444444444,0
NA,4.66666666666667,3,1,20,"good",6,"NoQuestions",7,9,6,4,3.33333333333333,0,0.555555555555556,2.27777777777778,10
NA,4,3.66666666666667,2,20,"good",6,"Questions",9,9,10,4,2.33333333333333,0,5.11111111111111,1.77777777777778,7
NA,6,0.5,1,22,NA,NA,NA,NA,NA,NA,NA,NA,0,3.55555555555556,0.222222222222222,10
5.6,5,3,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.6,3.33333333333333,3.33333333333333,2,19,NA,NA,NA,NA,NA,NA,NA,NA,1,3.55555555555556,0.555555555555556,7
5.2,3,3.66666666666667,1,19,"good",6,"Questions",8,8,6,3.66666666666667,2.66666666666667,0,3.44444444444444,2.16666666666667,7
3.6,3.66666666666667,3.66666666666667,1,21,"bad",5,"Questions",7,7,4,4,3,NA,NA,NA,NA
NA,4,3.16666666666667,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.4,4.33333333333333,1.83333333333333,1,23,"bad",5,"Questions",7,7,3,3.33333333333333,1,0,4.55555555555556,0.277777777777778,8
5,4.33333333333333,3,1,19,"bad",5,"Questions",7,7,5,4,2.33333333333333,0,2.66666666666667,2.27777777777778,9
7,5,2.83333333333333,1,19,"good",6,"NoQuestions",9,9,8,3.33333333333333,1,0,2.66666666666667,1,7
NA,3,3,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1.66666666666667,3.83333333333333,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
